#B站推出青少年模式#,,,,
username,comment,interact,date,likes
卡兔小怪兽,老阿姨觉得很棒，最好强制身份认证，b站现在低龄化严重,共56条回复,5-30 12:32,1.1万
可爱的小肥猪猪猪,谁会自己给自己设置个这个……,共40条回复,5-30 12:08,5323
丸子喜欢吃吐司,B站:青少年就应该有青少年的亚子,共13条回复,5-30 12:34,4607
君nin莫笑,B站真的算是良心APP,共52条回复,5-30 12:16,4072
ForGeTalwayS,建议b站给有脑子的成年人使用,共16条回复,5-30 12:20,2861
埃文evanyyy,不光针对B站啊！要分级全部啊！把电影文学这块也分了！每次电影国内都是删减版也是够了！,null,5-30 12:48,1571
风吹过来的时候记得吹口哨,同意推出这个模式，但能不能别打开一次软件跳出来一次啊，烦死人了，实名认证一下也行啊,共6条回复,5-30 12:20,896
Yuki的权世界,B站真牛逼，这么多年盼望着能有分级限制，没想到让b站最先实现，虽然不是严格意义上的分级限制，但已经是迈出了一大步,共9条回复,5-30 12:44,519
王者荣耀代打小哥哥丶,管管青少年，救救app吧,null,5-30 12:57,358
U-PCY,哈哈哈哈哈哈哈哈哈终于见不到未成年粉丝了,null,5-30 12:31,267
逍遥散人集,这个第一个推荐视频就是超越妹妹，看来平时看的不少啊,共1条回复,5-30 13:08,138
李喵喵的花心大萝卜,正处于叛逆期的青少年越不让碰越想碰,共1条回复,5-30 12:34,98
你自己喵-,建议所有app都可以有，以及家长朋友们注意及时给自己家孩子设置一下，成年人已经够苦了，不要再霍霍成年人了,共1条回复,5-30 12:34,108
烛澧,先把删减的那些恢复了可以吗,null,5-30 12:19,104
DRose001,平常很关注我超越妹妹啊,null,5-30 13:42,56
清浅1226,建议也可以搞个成年人模式，年龄是大于20,共2条回复,5-30 12:32,70
进击的裹叔,老是跳出来烦的很,null,5-30 12:07,65
janabi7,我给自己设置了，因为感觉玩哔站玩太多了，我去年统计一共在哔站待了107天,共6条回复,5-30 12:34,52
厉害了我的菜菜菜,国际版没这烦恼,共3条回复,5-30 11:18,34
纵马倚斜桥7678162,就应该分级啊！成年人玩儿成年人的，未成年人玩儿未成年人的，本来就应该分级而不是一刀切！凭什么成年人不能享受成年人的正常娱乐,null,5-30 13:18,40
玉米从不开车,小孩子就该有小孩子的亚子，好好读术,null,5-30 12:39,29
叶叶yeeeeee,腾讯，爱奇艺，优酷都推了青少年模式。。。。。。,共1条回复,5-30 12:49,18
每天都要爱坤一点,,null,5-30 12:29,13
圈子不同别硬融哈哈,太好了，终于能看不到那些睿智言论了！,null,5-30 13:04,15
诛邪泽宇,自从这些年移动互联网发展以来，青少年犯罪率越来越高。国家一定要严格管制这些信息传播媒体。,null,5-30 12:38,13
燃情绪漾_2018,开了青少年模式就别玩B站了,null,5-30 12:51,12
只因您N,可以可以，不然我这个成年人都快活不下去了,null,5-30 12:42,15
三橋源治,这样很好,null,5-30 12:24,11
zzm今天咕咕了么,其实没撒用，不进去青少年模式不就成了……,null,5-30 13:48,9
露洢,b站很棒了,null,5-30 13:41,2
一只小阳桃,还好我成年了哈哈哈哈,null,5-30 13:00,5
软婕-,腾讯视频也推出了好像,null,5-30 12:31,3
孤狼化狗,最右 也有了,null,5-30 14:09,
正版寸缕,为我方小破站打call,null,5-30 12:37,9
澎讯,转发微博,null,5-30 12:51,
锦上添华ov,推出个坤坤栏目吧！,共1条回复,5-30 12:22,5
林嵩Forrest,看到大家的评论！应该叫#贤者模式#,null,5-30 13:50,1
