#儿童砸钱充值手游#,,,,
username,comment,interact,date,likes
偷了我的外婆桥_,你儿子偷钱充游戏，你不教育儿子 还觉得是游戏的问题？,共1592条回复,2017-5-31,1.5万
柳一秋,建议未成年人 禁止玩游戏。游戏实名制,共498条回复,2017-5-31,8989
我的前任是贱人,告什么？告腾讯游戏为什么这么好玩？,共271条回复,2017-5-31,6115
你他娘真是个人才,游戏打得不咋滴，皮肤倒是一套一套的买,共171条回复,2017-5-31,6119
pure张太白,我说现在王者里面都是皮肤啊，原来都是小学生在充钱啊，作为大学生还没往王者荣耀里面充过钱，玩游戏就是放松的，。,共544条回复,2017-5-31,4071
给我一瓶酒给我一支烟丶,子不教，父之过。,共144条回复,2017-5-31,3446
爷们大国,SB家长，人家修一条马路，你走路摔了是不是还要把造路钓告了，这回我站腾讯这边，不充钱又不是不能玩，装逼是要付出代价的,共270条回复,2017-5-31,2598
文艺旧情书,难道不是孩子的错吗 腾讯我们这黑锅不背,共112条回复,2017-5-31,2077
丁博xyf,这种孩子不应该打死吗,共60条回复,2017-5-31,1479
咖喱只想睡觉,我亲弟过年把红包钱全扔王者荣耀了，然后收获了我一顿好打,共89条回复,2017-5-31,1473
奋进的守门人,好多法盲。。。。。8岁到18岁是限制民事行为能力人好么？这个孩子是11岁，也就是说他是限制民事行为能力人，超出他行为能力的行为必须得到监护人的同意或者追认，他的监护人可以撤销超出他行为能力的行为，所以他母亲可以起诉要求撤销他的行为把钱要回来。,共515条回复,2017-5-31,1191
啦啦M啦加,我建议家长把冯·诺依曼给告了，因为他发明了现代计算机，把马丁·库伯给告了，他发明了手机，把微软公司告了，发明了win系统，把爱迪生等一些科学家给告了，谁让他们发明了电。这他妈都是导致你孩子给游戏充钱的原因，最后把自己也告了，自己的熊孩子教育不好，还整天告天告地的。装泰迪？,共160条回复,2017-5-31,1195
猫不到的幸福,未成年人无证驾驶出了事，告汽车公司……是这个意思吗,共95条回复,2017-5-31,1022
YONG裴,他还是个孩子啊给我往死里打,共24条回复,2017-5-31,777
刘瑾言_,问题最大在父母吧…孩子是父母的放大版呀,共101条回复,2017-5-31,501
没有店的蒋老板,等孩子长大了看这个东西不错偷钱买吧，然后家长会不会跑去告超市？商场？为什么充了几万才发现？游戏弄了实名制防沉迷还不够？王者荣耀偷偷的告诉你儿子买不起装备就偷钱？注意是偷钱！我弟弟也玩王者荣耀我也给他买过皮肤虽然才八岁，但他成绩好作为奖励，也就搞活动给他买，然而给他买也行不给买也行,共74条回复,2017-5-31,376
全是狗粮呀,密码尽量不要让孩子知道,共32条回复,2017-5-31,223
雪碧一,人游戏可有防沉迷系统,共17条回复,2017-5-31,208
你要认真爱自己,明码标价，又没强制充值，都是自愿的，只怪家长监督不力，给孩子买什么手机？？？,共71条回复,2017-5-31,162
木点哥,马化腾：用心创造快乐！没钱玩你麻痹！小学生越多越好哇！,共4条回复,2017-5-31,168
南池姑娘,不是有限制小朋友玩王者荣耀吗 哎 心疼,共24条回复,2017-5-31,120
长春太威武,·明显家长推卸责任，只要保管好自己的网银支付密码何至如此？ 狗屁律师竟然还能说出“防不胜防”这种屁话！何其流氓~ 商店卖刀的也没让你拿着刀捅人，人家游戏公司跟你和解一是出于道义，二是为了息事宁人。还真以为自己站理了？,共17条回复,2017-5-31,137
文艺青年9516,我才舍不得把钱花在游戏上，游戏要玩但是钱不可能，我有钱还不如买点吃的买点化妆品买几套衣服,共43条回复,2017-5-31,137
Moooooya-,辣鸡游戏，废我钱财，毁我青春,共7条回复,2017-5-31,120
玖月彦,看到这里，我默默的拿起拖鞋走向了坐在沙发上打王者荣耀的儿子……,共13条回复,2017-5-31,103
E奴子,收手机别让孩子玩手机,共9条回复,2017-5-31,68
翠鸟大河,大家都不要吵！我是事件目击者，我看见马化腾拿枪指着小孩脑袋逼小孩去家长包里偷钱充值的。,共5条回复,2017-5-31,106
阿懒暗恋你吖,这……腾讯……背锅……？,共6条回复,2017-5-31,59
都怪天气不好,自己的孩子教不好还怪到别人身上真是啧啧啧,共19条回复,2017-5-31,62
颜宴,果然是亲生的，舍不得打,共1条回复,2017-5-31,52
长乐永平,估计这次之后腾讯就会想尽办法阻止未成年人玩游戏了吧…感觉游戏环境终于要得到改善了呢…,共24条回复,2017-5-31,50
你的帆酱,震惊！一男子嫖娼染上性病，状告夜总会。,共14条回复,2017-5-31,54
忽如一夜杏红来,家长们应该想想，孩子们玩游戏的手机是从哪里来的。,共5条回复,2017-5-31,58
漢堡丸子小蘑菇,你孩子要是去偷别人家的，你是不还得怪人家太大意，不然你儿子怎么会偷到。你儿子要是把豪车砸了，你是不得告豪车为什么要出这么贵的车啊？别搞笑了，你生的你养的，你不教育吗？,共1条回复,2017-5-31,58
青青陵上柏_龙城卫帅今何在,你自己的孩子偷钱充值游戏。你要游戏公司负全责？娃是你的还是游戏公司的？,共1条回复,2017-5-31,50
石矶,人家没逼你儿子充，还告人家。。。。腾讯那么大的企业会理你？ 这要是我弟，我一顿毒打，然后我来继承游戏账号,共16条回复,2017-5-31,50
