#小学生打赏游戏主播#,,,,
username,comment,interact,date,likes
来一口浓茶,为什么不说主播愿意退回钱的事？,共38条回复,2017-5-28,540
优秀论文玳写,自己犯了错误矢口否认，对自己的亲妈出言不逊态度恶劣，这种人长大了能好到哪儿去？没有是非对错的观念，没有勇气担当，连基本的尊重父母都不懂，12岁可不小了。,共51条回复,2017-5-28,393
云朵电影,还是个孩子 打死就行了,共82条回复,2017-5-28,164
嘉plus壹,这孩子废了！难道孩子平时看不到自己母亲的辛苦？！还不知道节约，这个年代除非幼儿园的孩子，都应该对钱的有个概念了，特别是家庭条件不好的！,共13条回复,2017-5-28,184
SixYea,12岁怎么知道账户和密码的。这种广告软文,共20条回复,2017-5-28,37
胡新野,实名制，游戏防沉迷，直播。,共9条回复,2017-5-28,70
老乖在啃手啊,好心疼这个妈妈,共5条回复,2017-5-28,70
咦板栗小公举,我居然想粉这个主播…,共7条回复,2017-5-28,71
倒着走的过路人,少年不知钱珍贵，可怜母亲心酸泪。但愿能懂事。,null,2017-5-28,43
山东鹿晗,这种应该直播平台赔付～,共3条回复,2017-5-28,8
悦购精品店,网络游戏有漏洞 禁止未成年人玩,共6条回复,2017-5-28,12
已注入猫,感觉小孩子这种态度跟家庭教育也有一定的关系,共5条回复,2017-5-28,13
牵你手好吗,这样的小学生心疼父母的钱,null,2017-5-28,11
请务必忘记我,也是无语了，再怎么喜欢，也应该知道父母的不容易，也应该思量一下。这孩子，虚荣心太强了。哎，可悲。,null,2017-5-28,16
杨若兰Riin,拒不认错，事实摆在面前才不得不承认。小孩子没有什么内涵，只有虚荣心。这么说太偏颇，但是事实如此啊。。天天都看这些熊孩子，烦啊,null,2017-5-28,8
请叫我一声小猛哥,我就纳闷了，银行卡密码是怎么让孩子知道的,null,2017-5-28,10
Starry的日常,磁暴步兵杨永信即将到达战场,null,2017-5-28,19
L不要再见面,对这孩子也是无话可说了，妈妈在烈日下辛辛苦苦赚的钱，被他动动几根手指就没了。,null,2017-5-28,9
redrosidcimyhtsyd,@bpevolwolleyhsifllams,共3条回复,2017-5-28,1
冷眼旁观2020,心寒。虚荣心每个人都会有，但俗话说的好，穷人家的孩子早当家。他身上看不到一点孩子的纯真，张口闭口全是谎话，从来没有考虑过母亲的感受。但伴随孩子成长的过程中，父母的教育缺失是显而易见的。直播平台监管不严，竟然涉事的是两个未成年人，国家也改管管了。,null,2017-5-28,10
我在哪呢我是谁,@王者荣耀 ，说好的实名认证呢，怎么还有这么多小学生,null,2017-5-28,4
天吾_neo,这个世界傻子太多，骗子远远不够用了,null,2017-5-28,8
聖賢也擋不住風流的情懷,为什么平台没有审查吗？未成年都可以当网红直播！政府部门都在打酱油吗？,共3条回复,2017-5-28,1
边境友人,@anyth1ngs @Clamping 真的太不懂事了！,null,2017-5-28,3
蜂蜜糖果纸,熊孩子,null,2017-5-28,2
