#用二维码付款被身后人盗刷#,,,,
username,comment,interact,date,likes
赵婉婷-婉转天下,实名制抢劫,共117条回复,5-26 18:53,8760
张-玄尘-长安,为什么总给犯罪分子打码，而其他守法老百姓不打码。,共179条回复,5-27 08:32,6578
港味美衣,前几天才看到警察提示别在收付款的时候提前点开二维码，这就出消息了，现在真的是要随时保持警惕才行,共105条回复,5-26 22:14,2928
温七安,这种人是不是忘了超市有监控？以为耍点小聪明就没人知道？,共111条回复,5-27 08:15,2057
消费最快乐,关闭免密支付,共199条回复,5-26 18:56,958
光黑影白,去…… 长见识了 还有这种操作,共14条回复,5-26 18:51,506
不华的坚硬,还有这操作,共21条回复,5-26 18:52,240
艮艮酷帅狂霸拽,正常人是刷不了别人的二维码的，他们怎么做到的……算了，想也容易，是不是什么注册的商家啊,共50条回复,5-26 19:09,168
1966xx92,会用高科技产品和智商没关系系列,共3条回复,5-26 19:17,94
长这么好看就是不上镜,现在的人脑子都不用到正地方,共3条回复,5-26 20:13,60
京城大猫,难道只有我一个人觉得这新闻的亮点不仅仅是二维码盗刷？,共31条回复,5-26 18:55,70
ITM小比,笨贼。一查号不就查到你了……🙈🙈🙈,null,5-26 19:36,48
逸东,我怎么看不懂呀,共3条回复,5-26 18:58,29
yophy优飞-我心依旧,现在抢劫都这么猖狂了吗？注册商家要实名认证的饿,共1条回复,5-27 08:33,23
Kasey_0219,防偷窥钢化膜还是有必要的,共4条回复,5-26 19:41,12
呶呶儿,前几天才看到警察提示别在收付款的时候提前点开二维码，这就出消息了，现在真的是要随时保持警惕才行,共1条回复,5-26 18:52,15
追忆_时光,幸亏我有防偷窥贴膜,共6条回复,5-27 10:22,9
大女人嫌你美,我真的每次都把手机背过去，很怕别人扫我二维码，我老公说我小心眼现在看来是对的,共3条回复,5-27 09:33,14
我是只愿你好,防不胜防,null,5-27 08:40,10
内涵绿茶大婊姐,什么人都有啊,null,5-26 18:51,5
康复小呆萌资艳,以后真的是要小心，防不胜防啊！！,null,5-27 08:56,6
家慧小屋2005,做人太累了，人间不值得。,null,5-26 22:20,9
澄迈楠哥,怎么？这样也可以扫吗？好像扫不了,null,昨天 16:06,1
愿望03908,还是用现金安全点，,null,5-27 09:38,2
倌仿認証小魔鬼,一定注意了,null,5-26 19:19,2
夸夸夸-----爱买衣服的小丫头,@支付宝@新浪新闻客户端 我刚遇到，23号上午九点整显示黄埔税务局130元，打电话客服说是当面扫付款码支付的，不可能是被盗。 反馈结果就是短信通知不能被理赔。然而我想知道商家是否是官方，商家电话地址，均不能被告知。 九点半在浦东医院，九点大概从家（也在浦东）出发时间。此事不了了之。。。,共4条回复,5-27 10:29,4
後面有座圖書館,很少提前打开二维码，即使打开也是把屏幕先按在自己腿上。,共3条回复,5-27 09:16,7
若茗兮,下次付款就不会这样子了,null,5-26 18:51,4
齐鸣-铂澜咖啡学院,不算偷盗，实为抢劫。可以按此定罪。,共1条回复,5-27 13:43,
R大人V,他要是扫我，想盗都盗不出来,null,5-27 11:30,1
i飞舞的梦,付款的时候不是点扫一扫那里吗？扫商家的码然后再输入支付密码吗？,共3条回复,5-27 08:49,1
就是爱鱼旦,为啥要给打码,null,5-27 01:49,2
西西哟哟玲珑,用支付宝。盗刷必赔@支付宝,共3条回复,5-27 10:42,4
汪1124,这就是公然抢劫，以为看不到吧？,null,5-27 10:41,2
喻甜ytty99,这也是为啥我总是扫对方付款码，很少愿意出示手机支付码,共1条回复,5-27 10:06,3
韜寶貝兒,打开付款码，被后面的人扫码了，人家随便填个数钱就到人家账户了，这钱来的太不费劲了,共2条回复,5-26 21:49,9
Sen2019,学到惹,null,5-26 18:51,1
