#小学生打赏主播要还钱吗#,,,,"
"
username,comment,interact,date,"likes
",sentiment,confidence,positive_prob,negative_prob
凯瑞猪,那平台也要退啊 不能只让主播退,null,5-7 19:46,"48
",0,0.660504,0.152773,0.847227
·Instagram·,道德绑架,null,5-7 19:42,"31
",1,0.464454,0.473223,0.526777
Wczero,扣除抽成，不剩多少,共3条回复,5-7 19:43,"32
",0,0.444088,0.25016,0.74984
-散乱的记忆-,心疼主播,null,5-7 19:43,"18
",2,0.01856,0.558352,0.441648
引秀陈,扣除抽成不会剩下多少 看来主播也不是很挣钱啊,共3条回复,5-7 19:48,"12
",0,0.73248,0.120384,0.879616
风衣它裹起了怕,主播也只能还自己拿到的钱，剩下的只能和平台交涉了,null,5-7 19:56,"9
",0,0.722828,0.124727,0.875273
一只野生的楚轩,这个主播懂事,null,5-7 19:57,"8
",1,0.952899,0.502355,0.497645
shirleylamfung,"""问题是熊孩子们如何如此轻松容易登录移动支付的",父母随随便便把手机,"平板交由孩子玩耍""",null,5-7 19:50,"9
",2,0.414004,0.736302,0.263698
尼古拉斯·圈圈,父母是不是应该承担监护不到位的情况？,null,5-7 19:49,"9
",0,0.51434,0.218547,0.781453
玉芳看江西,小孩子在没有监护人在场的情况下都是无效的💰 请大家关注我置顶微博🙏🙏🙏萍乡在线江西公民朱玉芳实名举报萍乡市肖氏黑恶势力，屡屡遭受打击报复。2008年出狱以后再次实名举报萍乡市房管局局长肖南纯，肖南辉，肖南萍的涉黑涉恶罪行，请大家支持,共4条回复,5-7 19:46,"8
",0,0.372497,0.282376,0.717624
宁采秋羽不采宸,心疼主播,null,5-7 19:42,"6
",2,0.01856,0.558352,0.441648
wljllw,其实监护人有很大责任，最起码应避免小孩接触手机或手机里的金融软件或功能,null,5-7 20:39,"4
",2,0.200348,0.640157,0.359843
第一庞统老白,大家好，我是这个主播，大家可能没看我的视频，我视频的初衷是想呼吁家长重视家庭教育，培养孩子良好的价值观，但到微博底下的一些评论，家长不但不反思自己，还讲责任全推给平台和主播，看到这些，我是真的心寒。,null,5-8 01:20,"14
",0,0.67612,0.145746,0.854254
书·生活,家长应该也有责任！每次拿未成年说事！家长对未成年孩子尽到教育责任了吗？！,null,5-8 00:01,"4
",0,0.35946,0.288243,0.711757
lijie1742250005,还是作业不够多,null,5-7 19:42,"2
",0,0.617181,0.172268,0.827732
有什么事不能明天再说呢,主播委屈啊,null,5-7 20:22,"2
",1,0.822379,0.508881,0.491119
关少侠在江湖,限制民事行为能力人做出的不符合自身能力的行为为效力待定，需经监护人追认才发生法律效力。,null,5-8 07:55,"
",0,0.913614,0.0388738,0.961126
幸福一分钟,,null,5-7 19:49,"
"
带着刀的刀瑞斯,挨打了 哈哈呵呵哈哈,null,5-7 19:43,"
",2,0.704309,0.866939,0.133061
希花妖,所以密码怎么知道的,null,5-7 21:36,"1
",1,0.0110608,0.450553,0.549447
见山是山_,真服了说法律没用的人等你家孩子哪天没经你同意花了钱你不想追认的时候别拿法律出来说事，一天就知道说恶法恶法有能力你去改一个更合适的。,null,5-8 10:23,"
",0,0.973501,0.0119245,0.988075
駕駛藍色P1的財迷吼吼,挨打了，，哈哈哈哈哈,null,5-8 07:39,"
",2,0.850491,0.932721,0.0672792
薄荷凉豆奶,限制民事行为能力了，照理应全退款鸭，政治书上都有着呢，总不能赖着吧,null,5-7 22:38,"1
",0,0.551177,0.20197,0.79803
Maffia-Don,学生？那就打八折吧,null,5-7 21:35,"
",0,0.223764,0.349306,0.650694
小熊猫Panda,比如1000的礼物，扣除百分之20的税，再和平台对半分，有经济公司再和公司分成到手没多少了,null,5-7 20:43,"
",2,0.367042,0.715169,0.284831
多你个弗朗的明哥,明明孩子他爸的错，老是让孩子背锅,null,5-7 20:12,"1
",0,0.200036,0.359984,0.640016
滥番薯,平台抽成那么多？,null,5-7 19:57,"
",0,0.148903,0.382994,0.617006
C震惊危座问客曰,给小孩玩手机，要关闭各种快捷支付,null,5-7 19:48,"
",1,0.25811,0.537095,0.462905
鱼遛车,扯到钱的时候，年纪倒是挺小的了,null,5-7 23:59,"
",0,0.684554,0.14195,0.85805
落月飞花风吹雪,//@凯瑞猪:那平台也要退啊 不能只让主播退,null,5-7 19:59,"
",0,0.611627,0.174768,0.825232
龙象起舞,在网上很难界定是否是成年人，应该为自己的行为买单。,null,5-7 20:31,"1
",0,0.711379,0.12988,0.87012
一切尽在笑谈中,小孩的监护人应承担责任，不要动不动就责怪他人，那自己应该承担什么呢？,null,5-7 20:24,"3
",0,0.60918,0.175869,0.824131
滴吧滴滴豆豆,还是孩子，来都来了，都不容易,null,5-7 20:01,"1
",2,0.341287,0.703579,0.296421
小肥_小肥,良心主播,null,5-7 19:46,"1
",1,0.864026,0.506799,0.493201
